"id","bspl","detailname","resultname"
2487,BS,충당부채및환불부채,충당부채
2488,BS,장기기타부채,기타부채
2489,PL,당기손익으로재분류되지않는항목과관련된법인세,기타포괄손익
2490,PL,당기총괄포괄손익,총포괄손익
2491,PL,기타의금융수익,금융손익
2492,PL,기타의금융비용,금융손익
2493,PL,종속기업및관계기업투자관련손익,영업외손익
2494,BS,기타장기급여부채,충당부채
2495,BS,임차권리금,무형자산
2496,BS,장기금융상품_장기성예금,금융자산
2497,PL,보험차익,영업외손익
2498,PL,단기매매증권처분이익,금융손익
2499,PL,종속기업투자주식처분손익,영업외손익
2500,cf,재무활동으로인한현금흐름,재무활동현금흐름
2501,BS,계약이행원가자산,기타자산
2502,BS,기타포괄손익공정가치측정금융상품평가손익,금융자산
2504,BS,투자선급금,기타자산
2505,PL,금리스왑평가손익,위치파악2
2506,PL,종속기업관계기업투자손익,영업외손익
2507,BS,미수법인세자산,기타자산
2508,BS,지분법적용주식,투자주식
2509,PL,판매비와관리비기타,기타판관비
2510,BS,공동기업투자자산,투자주식
2511,BS,단기파생상품자산,금융자산
2512,PL,임대료용역원가,영업외손익
2513,PL,경상연구비,기타판관비
2514,PL,단기매매증권평가손실,위치파악2
2515,BS,종속기업및공동기업지분증권,투자주식
2516,BS,유동성예수보증금,위치파악3
2517,BS,기타유형자산,유형자산
2518,BS,대손충당금,차감형
2519,BS,토지재평가차익,이익잉여금
2520,PL,타계정에서대체,매출원가
2521,PL,업무추진비,기타판관비
2522,PL,계속영업기본및희석주당손익,제거
2523,PL,중단사업기본및희석주당손익,제거
2524,BS,유성성장기차입금,금융부채
2525,PL,지분법평가손익,영업외손익
2526,BS,매입채무및지급채무,금융부채
2527,PL,법인세비용차감전계속영업손실,세전이익
2528,PL,보통주계속영업기본주당손실,제거
2529,PL,우선주기본주당손실,제거
2530,PL,우선주계속영업주당손실,제거
2531,BS,비유동성판매보증충당부채,충당부채
2532,BS,유동성금융보증채무,금융부채
2533,PL,기타포괄공정가치자산평가손실,위치파악2
2534,PL,공정가치금융자산평가손익,위치파악2
2536,PL,후속적으로재분류되지않는포괄손익,총포괄손익
2537,BS,유동성파생상품금융부채,금융부채
2538,PL,기술이전수익,영업외손익
2539,BS,차감:법인세효과,기타자본
2540,PL,기본희석주당순손익,제거
2541,PL,법인세비용차감전당기순손실,세전이익
2542,BS,단기매도가능금융자산,금융자산
2543,PL,공동기업투자주식관련손익,영업외손익
2544,BS,장기이연법인세자산,기타자산
2545,BS,외화단기차입금,금융부채
2546,BS,초과납입자본,자본금
2547,BS,당기손익공정가치지정금융부채,금융부채
2548,BS,당기손익공정가치측정지정금융자산,금융자산
2550,PL,관계기업투자주식투자손익,영업외손익
2551,PL,종속관계기업투자주식관련손익,영업외손익
2552,PL,종속기업및관계기업관련손실,영업외손익
2554,PL,계속영업총포괄손익,총포괄손익
2555,PL,중단영업총포괄손익,총포괄손익
2556,BS,장기성판매보증충당부채,충당부채
2557,PL,기본주당이익손실:,제거
2558,PL,희석주당이익손실:,제거
2559,PL,종속기업의손익에대한지분,영업외손익
2560,BS,종속기업의재측정요소,기타포괄손익
2561,BS,종속기업의기타포괄손익,기타자본
2562,BS,관계기업의재측정요소에대한지분,기타포괄손익
2563,PL,임대매출,매출액
2564,PL,영업외수익비용,영업외손익
2565,PL,지배지분순이익,기타포괄손익
2566,BS,당기손익으로재분류되지않는항목세후기타포괄손익:,기타자본
2567,PL,순확정급여부채의재측정손익,기타포괄손익
2568,PL,종속기업투자로발생한손익,영업외손익
2569,PL,관계기업투자관련손익,영업외손익
2570,BS,유동장기차입금,금융부채
2571,BS,법인세비용차감후기타포괄손익:,기타자본
2572,PL,종속회사투자주식처분이익,영업외손익
2573,BS,기타포괄손익계,기타자본
2574,BS,관계및공동기업투자주식,투자주식
2575,BS,기타유동투자자산,금융자산
2576,BS,단기유급휴가부채,충당부채
2577,BS,제품보증충당부채,충당부채
2578,BS,유동성기타금융자산,금융자산
2579,BS,무형자산및영업권,무형자산
2580,PL,금융수익,금융손익
2581,BS,손실부담계약충당부채,충당부채
2582,BS,연차수당부채,충당부채
2583,BS,유동성환불부채,충당부채
2584,BS,반제품,재고자산
2585,BS,기타포괄손익공정가치금융자산평가손익법인세효과,기타자본
2586,BS,보험수리적손익의법인세효과,기타자본
2587,PL,당기손익공정가치금융부채평가이익,위치파악2
2588,PL,연결당기순이익및총포괄이익,총포괄손익
2589,BS,온실가스배출자산,기타자산
2590,BS,순사외적립자산,충당부채
2591,BS,포인트충당부채,충당부채
2592,BS,상각후원가측정유동금융자산,금융자산
2593,BS,상각후원가측정비유동금융자산,금융자산
2594,BS,지급보증충당부채,충당부채
2595,PL,토지재평가손익,위치파악2
2596,PL,지배기업소유주에귀속되는자본,기타자본
2597,PL,계속영업당기순손실,제거
2598,PL,관계기업의이익잉여금변동에대한지분,영업외손익
2599,PL,계속영업당기총포괄이익,총포괄손익
2600,PL,중단영업당기총포괄이익,총포괄손익
2601,PL,관계기업투자지분평가이익,영업외손익
2602,BS,유동금융보증계약부채,금융부채
2603,BS,관련법인세효과,기타자본
2604,BS,장기성리스부채,금융부채
2605,BS,유동성전환권조정계정,금융부채
2606,PL,외주가공수수료수입,매출액
2607,BS,위법행위미수금,금융자산
2608,BS,종속기업관계기업투자자산,투자주식
2609,BS,매각예정자산관련자본인식항목,기타자본
